Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,Mass Merch,Parks & Beaches,QSR,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-02-01,60,124,129,105,113,36,108,192,73,121,150
2020-01-31,124,82,137,94,121,106,124,169,118,116,150
2020-01-30,121,139,118,106,0,104,93,62,136,88,50
2020-01-29,147,91,103,91,74,115,106,115,173,100,0
2020-01-28,134,76,92,79,84,126,100,38,82,101,0
2020-01-27,113,109,83,88,103,97,87,54,82,95,50
2020-01-26,36,58,56,73,84,27,76,46,64,70,50
2020-01-25,53,55,100,83,79,48,88,131,100,93,50
2020-01-24,130,103,96,115,74,102,104,92,109,107,400
2020-01-23,94,85,75,77,0,96,83,46,109,83,50
2020-01-22,105,73,95,85,74,131,74,115,145,82,100
2020-01-21,123,133,93,106,105,185,102,85,127,113,100
2020-01-20,66,100,67,79,76,78,64,62,45,79,50
2020-01-19,32,73,49,58,76,38,60,85,73,62,0
2020-01-18,57,85,90,88,87,45,88,146,55,98,0
2020-01-17,103,106,107,109,113,147,96,100,155,109,100
2020-01-16,136,91,88,100,0,138,101,115,55,93,0
2020-01-15,124,88,112,122,126,135,89,54,73,88,200
2020-01-14,119,118,81,106,95,136,88,46,55,86,150
2020-01-13,115,97,91,104,111,163,89,77,82,86,100
2020-01-12,38,64,67,108,68,64,70,100,55,80,100
2020-01-11,41,100,85,117,79,85,75,100,55,72,50
2020-01-10,113,179,103,174,103,123,102,115,155,95,0
2020-01-09,114,239,87,132,0,121,104,69,82,93,50
2020-01-08,94,164,79,132,84,102,92,62,127,70,50
2020-01-07,118,94,80,109,103,104,96,46,64,94,150
2020-01-06,119,112,85,137,92,123,105,92,136,109,200
2020-01-05,44,76,61,104,121,38,81,62,91,91,100
2020-01-04,54,91,89,141,71,56,96,85,82,94,100
2020-01-03,99,145,121,115,82,132,106,146,118,118,100
2020-01-02,102,100,97,109,0,124,118,69,127,85,100
2020-01-01,39,52,59,86,13,73,72,54,64,76,50
2019-12-31,74,82,132,122,163,96,125,215,91,140,50
2019-12-30,70,85,75,99,55,87,92,185,145,82,0
