Category,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-04-17,58,47,45,107,106,71,67,69,81,42,77,0
2020-04-16,41,58,53,102,94,86,75,61,78,48,76,0
2020-04-15,41,48,47,127,85,92,73,70,64,45,76,0
2020-04-14,43,48,43,103,70,75,65,59,66,42,69,0
2020-04-13,31,48,49,79,84,64,65,61,54,56,71,0
2020-04-12,31,32,24,116,61,25,65,47,58,27,43,0
2020-04-11,38,54,44,175,104,43,88,68,82,34,80,0
2020-04-10,43,59,62,154,98,75,80,71,80,51,89,0
2020-04-09,45,47,51,109,81,88,74,66,63,48,77,0
2020-04-08,42,56,41,118,75,69,57,62,73,35,72,0
2020-04-07,39,54,43,107,73,89,76,70,63,49,77,0
2020-04-06,41,62,43,99,75,79,61,71,60,41,81,0
2020-04-05,19,35,33,110,78,36,69,57,57,23,63,0
2020-04-04,38,48,41,139,89,43,75,68,79,23,75,0
2020-04-03,47,71,57,110,91,95,87,88,82,50,82,0
2020-04-02,40,62,45,110,92,67,70,77,71,44,80,0
2020-04-01,38,65,51,109,84,89,82,71,75,44,78,0
2020-03-31,35,61,43,76,82,85,74,69,71,42,74,0
2020-03-30,35,67,47,84,86,73,79,62,56,40,79,0
2020-03-29,25,37,35,74,80,28,63,53,60,29,56,0
2020-03-28,26,55,39,79,98,47,70,61,57,22,79,0
2020-03-27,60,70,51,113,83,94,77,66,69,36,82,0
2020-03-26,50,67,43,100,81,84,79,65,69,50,74,0
2020-03-25,56,66,49,121,78,103,75,67,61,51,79,0
2020-03-24,41,57,43,107,76,86,69,54,62,52,76,0
2020-03-23,41,66,47,122,85,98,82,52,51,44,72,0
2020-03-22,24,43,30,111,74,21,57,43,44,26,50,0
2020-03-21,35,57,22,105,93,29,71,52,42,28,82,0
2020-03-20,45,75,43,173,114,91,93,71,60,65,108,0
2020-03-19,50,97,58,176,105,91,96,66,65,53,103,0
2020-03-18,55,62,59,135,85,97,88,73,71,78,95,0
2020-03-17,66,74,66,136,100,137,107,72,89,115,102,0
2020-03-16,77,85,76,171,109,103,135,78,76,136,116,0
2020-03-15,81,73,69,129,113,43,125,75,99,71,96,0
2020-03-14,133,121,75,175,139,59,135,107,110,71,126,0
2020-03-13,94,130,112,187,168,125,136,109,131,142,146,0
2020-03-12,105,114,100,193,124,118,118,103,89,127,119,0
2020-03-11,78,93,117,120,106,108,109,95,96,133,110,0
2020-03-10,90,106,108,133,100,124,96,99,101,114,108,0
2020-03-09,84,106,104,121,101,142,85,91,103,98,114,0
2020-03-08,96,108,98,165,125,59,96,95,138,74,104,0
2020-03-07,126,135,94,143,143,71,134,121,139,76,131,0
2020-03-06,106,149,114,152,116,110,126,117,121,94,121,0
2020-03-05,91,106,101,105,92,119,97,112,102,92,108,0
2020-03-04,91,97,118,102,90,136,98,104,88,117,109,0
2020-03-03,89,85,124,136,101,114,102,101,94,122,110,0
2020-03-02,90,102,125,118,111,125,106,95,93,97,118,0
2020-03-01,103,91,80,147,146,53,107,107,125,52,109,0
2020-02-29,116,119,106,142,149,68,110,113,142,86,122,0
2020-02-28,126,139,126,138,128,147,116,117,116,100,124,0
2020-02-27,111,128,106,135,149,112,99,98,107,123,113,0
2020-02-26,84,90,114,129,98,119,115,91,92,113,101,0
2020-02-25,89,92,118,122,92,124,117,98,98,136,102,0
2020-02-24,82,88,120,127,104,118,98,97,92,108,106,0
2020-02-23,129,92,75,157,116,60,100,107,120,42,99,0
2020-02-22,132,120,100,149,132,68,117,125,126,67,123,0
2020-02-21,121,133,124,127,105,119,102,135,121,105,112,0
2020-02-20,111,94,111,112,99,120,115,112,101,103,98,0
2020-02-19,79,102,112,122,88,131,105,96,94,101,100,0
2020-02-18,88,93,106,118,78,109,93,93,76,109,99,0
2020-02-17,104,84,103,103,91,105,99,106,93,91,107,0
2020-02-16,111,85,75,149,105,64,104,103,106,53,91,0
2020-02-15,102,108,98,166,110,65,107,108,130,73,98,0
2020-02-14,133,125,127,176,94,128,145,109,131,136,106,0
2020-02-13,100,109,119,162,103,125,128,100,104,130,107,0
2020-02-12,90,97,122,126,95,146,106,105,96,103,106,0
2020-02-11,78,96,131,106,89,125,102,94,76,98,101,0
2020-02-10,82,92,104,75,89,119,95,92,87,112,101,100
2020-02-09,114,81,70,91,113,50,90,84,99,30,88,0
2020-02-08,128,104,94,92,119,73,105,111,127,77,111,0
2020-02-07,121,110,115,77,99,132,111,122,111,112,111,0
2020-02-06,84,83,117,70,72,152,87,93,83,121,89,0
2020-02-05,102,90,124,90,76,131,94,90,87,115,86,0
2020-02-04,84,107,116,67,85,140,97,79,83,138,98,0
2020-02-03,95,90,108,76,87,135,89,91,82,155,94,0
2020-02-02,98,77,85,156,111,74,108,94,93,99,83,0
2020-02-01,116,117,96,143,129,69,117,128,128,119,119,0
2020-01-31,114,113,129,94,98,142,96,123,129,131,108,0
2020-01-30,81,94,120,93,73,118,86,107,104,107,98,0
2020-01-29,86,84,107,86,84,131,95,99,87,117,94,0
2020-01-28,61,89,119,64,83,103,93,100,84,90,92,0
2020-01-27,72,89,100,64,85,104,94,105,81,122,100,0
2020-01-26,115,85,64,92,100,42,75,86,95,63,82,0
2020-01-25,122,99,82,80,107,87,101,106,117,79,99,0
2020-01-24,98,111,100,61,83,98,96,111,102,122,101,0
2020-01-23,74,79,85,67,66,100,75,86,76,128,81,0
2020-01-22,73,90,83,62,74,111,89,90,69,122,90,0
2020-01-21,85,79,120,61,83,108,86,102,91,126,98,0
2020-01-20,69,83,93,71,94,81,89,94,78,71,103,0
2020-01-19,121,69,55,77,103,38,83,79,91,65,72,0
2020-01-18,119,115,88,92,114,78,96,105,120,83,92,0
2020-01-17,106,100,98,73,83,123,79,90,92,121,95,0
2020-01-16,101,184,96,76,81,107,92,92,78,129,95,0
2020-01-15,95,103,112,59,75,97,96,105,84,164,96,0
2020-01-14,82,84,80,60,71,114,97,86,82,108,88,0
2020-01-13,76,82,101,70,92,113,95,93,100,112,93,0
2020-01-12,130,78,57,69,110,56,78,74,81,47,74,0
2020-01-11,121,115,78,58,98,56,93,78,89,116,91,0
2020-01-10,113,115,90,65,97,115,95,109,106,119,103,0
2020-01-09,105,102,92,66,88,108,101,85,90,120,91,0
2020-01-08,104,68,88,67,82,108,89,83,71,127,87,0
2020-01-07,96,93,110,69,85,98,85,84,88,106,90,0
2020-01-06,85,102,109,80,94,127,96,103,92,130,103,0
