Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-03-06,127,151,125,139,109,132,115,105,120,110,137,131,143
2020-03-05,133,114,107,134,88,103,90,86,116,6,139,118,148
2020-03-04,127,116,114,125,86,85,89,92,96,100,131,109,144
2020-03-03,124,109,108,116,85,52,90,99,110,119,131,107,137
2020-03-02,116,95,110,118,86,50,106,94,95,103,126,104,91
2020-03-01,46,118,109,75,102,119,101,119,69,74,91,108,30
2020-02-29,64,158,140,88,114,215,138,135,93,103,111,146,90
2020-02-28,125,144,142,136,123,130,126,122,132,100,139,121,143
2020-02-27,128,118,125,128,83,86,91,90,114,10,137,115,137
2020-02-26,119,104,108,108,93,69,87,83,99,103,126,105,129
2020-02-25,127,107,119,129,90,66,94,86,113,106,133,107,135
2020-02-24,123,95,114,120,95,50,90,89,107,87,125,97,89
2020-02-23,57,111,106,73,96,125,82,106,62,90,87,101,28
2020-02-22,69,168,154,92,121,221,119,149,102,129,119,147,96
2020-02-21,125,150,148,135,119,116,127,115,130,113,147,135,152
2020-02-20,129,129,127,136,108,102,111,98,120,16,142,115,143
2020-02-19,120,105,120,118,101,67,99,90,114,126,134,108,141
2020-02-18,119,94,105,121,88,53,103,80,112,113,126,93,125
2020-02-17,103,93,101,113,90,46,90,91,90,103,108,98,75
2020-02-16,67,142,125,83,110,197,123,126,65,110,107,125,36
2020-02-15,83,180,165,106,118,223,145,142,101,123,133,159,107
2020-02-14,122,145,156,143,142,157,134,124,129,132,166,139,152
2020-02-13,134,105,123,128,87,111,113,90,128,13,152,106,139
2020-02-12,124,106,109,136,86,66,100,91,113,155,151,108,147
2020-02-11,115,92,109,118,88,69,99,81,103,106,134,79,118
2020-02-10,97,71,84,93,87,44,88,94,107,87,106,33,68
2020-02-09,45,83,67,63,84,118,76,94,69,81,63,69,16
2020-02-08,72,122,103,85,114,204,114,119,83,132,82,120,79
2020-02-07,127,109,112,102,102,125,126,118,110,123,98,73,132
2020-02-06,135,79,97,103,81,82,97,95,99,16,93,62,127
2020-02-05,125,81,90,102,82,59,88,95,125,84,93,58,130
2020-02-04,133,75,86,93,91,51,91,88,121,97,89,56,123
2020-02-03,120,70,77,91,85,47,82,72,112,110,82,49,100
