Category,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-06-01,17,51,31,71,46,61,200,18,21,35
2020-05-31,30,36,12,83,43,53,100,13,16,24
2020-05-30,4,56,15,81,94,65,0,17,19,31
2020-05-29,13,48,42,103,90,75,100,25,21,51
2020-05-28,26,47,42,74,74,62,100,23,18,49
2020-05-27,30,63,46,100,83,67,200,25,20,47
2020-05-26,43,56,46,103,88,66,100,25,22,48
2020-05-25,13,38,12,96,61,53,0,14,15,24
2020-05-24,22,29,8,74,76,52,100,15,15,25
2020-05-23,57,57,12,79,87,61,0,19,19,30
2020-05-22,9,62,31,88,86,76,200,29,25,59
2020-05-21,22,53,23,99,67,68,200,27,25,53
2020-05-20,26,51,27,88,77,76,300,26,24,52
2020-05-19,17,46,31,58,79,60,200,25,21,49
2020-05-18,17,46,38,78,77,59,200,23,20,47
2020-05-17,26,32,4,27,52,43,100,13,14,25
2020-05-16,30,57,19,73,83,63,100,20,20,41
2020-05-15,52,57,35,95,86,82,0,26,24,56
2020-05-14,22,45,12,65,59,49,0,22,17,43
2020-05-13,13,48,31,88,88,56,0,25,21,53
2020-05-12,26,41,35,68,70,57,0,21,17,44
2020-05-11,9,51,23,49,72,59,200,22,16,47
2020-05-10,17,24,4,33,72,39,200,16,13,28
2020-05-09,39,48,12,64,94,53,100,19,16,32
2020-05-08,22,56,31,58,88,68,300,26,22,54
2020-05-07,17,43,23,85,61,56,100,22,17,41
2020-05-06,22,45,23,83,81,61,0,23,19,46
2020-05-05,26,44,42,53,65,56,0,23,19,46
2020-05-04,22,45,27,50,89,60,200,23,19,46
2020-05-03,22,27,4,83,66,42,0,12,11,22
2020-05-02,35,45,12,88,90,61,500,16,17,28
2020-05-01,9,51,15,87,101,75,0,24,22,51
2020-04-30,22,47,27,58,72,56,100,21,18,45
2020-04-29,13,35,38,42,75,60,0,19,17,42
2020-04-28,26,40,23,88,74,65,100,22,20,46
2020-04-27,9,44,31,55,75,60,100,21,18,45
2020-04-26,39,28,12,81,67,51,100,12,14,23
2020-04-25,22,35,15,28,75,55,200,13,14,24
2020-04-24,35,48,19,68,99,65,0,22,20,47
2020-04-23,17,52,35,63,74,54,100,20,19,43
2020-04-22,13,48,23,56,80,67,0,21,17,45
2020-04-21,9,49,46,46,72,52,200,19,18,40
2020-04-20,26,61,38,82,76,52,100,20,16,41
2020-04-19,13,34,8,44,64,44,0,13,12,23
2020-04-18,30,55,23,60,76,55,400,16,16,28
2020-04-17,48,56,15,32,79,57,300,19,18,35
2020-04-16,35,57,46,55,72,56,200,19,18,38
2020-04-15,30,61,31,54,74,54,0,20,18,38
2020-04-14,26,47,38,55,71,54,200,19,16,34
2020-04-13,17,45,31,55,64,44,100,19,16,36
2020-04-12,22,22,0,38,81,36,0,11,10,19
2020-04-11,39,52,23,58,91,53,0,15,16,23
2020-04-10,39,57,35,49,97,68,500,21,19,42
2020-04-09,22,54,38,45,75,53,0,19,16,38
2020-04-08,43,56,23,63,80,54,300,20,18,36
2020-04-07,26,64,38,68,83,51,300,22,18,44
2020-04-06,26,60,8,55,76,52,200,20,17,39
2020-04-05,26,27,4,41,63,42,100,12,11,19
2020-04-04,30,56,23,47,77,56,0,15,13,26
2020-04-03,9,66,27,60,92,66,100,22,19,40
2020-04-02,13,67,27,76,94,71,100,20,17,39
2020-04-01,30,56,23,58,83,60,300,20,16,38
2020-03-31,26,40,23,38,82,55,0,20,16,42
2020-03-30,17,56,31,60,71,62,200,21,17,40
2020-03-29,22,28,4,29,54,44,0,12,11,20
2020-03-28,61,48,27,32,65,47,0,13,13,21
2020-03-27,17,61,46,58,81,62,200,21,20,39
2020-03-26,35,59,38,51,80,57,200,21,18,37
2020-03-25,26,55,38,76,86,56,100,22,21,39
2020-03-24,17,51,31,56,75,50,0,21,17,37
2020-03-23,13,44,19,44,94,48,0,20,19,36
2020-03-22,9,25,4,37,79,39,0,11,10,20
2020-03-21,43,36,12,32,94,36,0,13,12,19
2020-03-20,35,50,54,63,112,63,0,25,20,44
2020-03-19,65,65,50,67,105,66,0,26,23,47
2020-03-18,48,77,42,56,103,56,300,29,25,54
2020-03-17,35,81,77,112,108,64,0,33,29,65
2020-03-16,35,85,100,95,121,85,100,41,40,78
2020-03-15,35,55,12,45,106,62,300,23,20,41
2020-03-14,74,84,38,74,101,80,0,31,25,58
2020-03-13,65,125,112,90,145,115,100,56,50,106
2020-03-12,39,122,142,133,123,105,100,60,57,109
2020-03-11,96,121,108,103,110,111,0,71,150,115
2020-03-10,74,111,135,146,132,126,200,70,124,113
2020-03-09,35,118,119,90,118,99,0,61,59,110
2020-03-08,65,68,15,96,79,83,0,48,148,67
2020-03-07,74,108,108,128,105,91,0,47,41,88
2020-03-06,196,139,142,124,130,125,100,72,139,125
2020-03-05,148,114,112,136,101,112,100,74,159,113
2020-03-04,52,107,108,153,128,119,100,63,59,110
2020-03-03,170,115,119,135,123,134,0,76,145,120
2020-03-02,52,109,135,128,90,120,100,74,128,120
2020-03-01,113,63,27,79,90,93,300,49,41,80
2020-02-29,117,103,81,72,116,102,200,64,103,93
2020-02-28,74,131,123,106,135,133,200,78,117,130
2020-02-27,61,119,142,104,115,121,0,79,115,129
2020-02-26,43,103,165,123,112,122,0,69,70,117
2020-02-25,135,104,135,138,106,129,0,94,124,123
2020-02-24,48,115,112,128,108,109,0,125,62,112
2020-02-23,96,59,8,69,77,88,300,53,116,70
2020-02-22,100,96,65,86,115,102,0,68,140,95
2020-02-21,196,124,100,95,122,126,200,152,162,129
2020-02-20,74,133,150,167,104,111,100,147,127,127
2020-02-19,143,122,131,145,99,112,200,149,153,122
2020-02-18,61,84,138,117,106,111,0,128,59,108
2020-02-17,52,76,112,67,95,98,0,120,64,113
2020-02-16,170,70,27,78,74,85,100,66,158,83
2020-02-15,183,107,54,81,74,102,100,71,148,89
2020-02-14,165,129,131,118,136,104,200,143,148,125
