Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Pharmacy,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-05-31,5,6,4,5,3,3,2,9,8,7
2020-05-30,13,7,10,12,4,1,4,17,15,16
2020-05-29,21,17,19,19,17,18,17,26,19,26
2020-05-28,20,23,19,17,11,15,16,25,19,24
2020-05-27,21,16,20,19,13,23,17,26,21,25
2020-05-26,24,14,23,19,15,21,16,26,19,25
2020-05-25,8,6,8,10,3,3,6,14,11,13
2020-05-24,8,9,4,9,1,3,3,13,11,11
2020-05-23,9,8,6,9,3,3,3,14,11,13
2020-05-22,19,14,16,16,12,21,15,25,20,23
2020-05-21,19,19,28,18,13,24,19,25,20,24
2020-05-20,19,23,24,14,10,25,20,25,19,25
2020-05-19,22,22,22,17,13,28,17,24,18,23
2020-05-18,19,21,20,16,10,27,13,23,18,22
2020-05-17,8,8,4,6,3,6,2,10,8,7
2020-05-16,10,18,10,12,3,7,6,16,14,15
2020-05-15,22,21,27,17,16,23,14,26,20,27
2020-05-14,22,20,22,17,10,14,15,23,17,23
2020-05-13,19,23,24,16,13,25,15,23,17,23
2020-05-12,15,19,19,14,8,14,13,22,16,22
2020-05-11,19,12,19,15,10,25,14,23,16,23
2020-05-10,4,6,2,5,0,1,1,9,7,7
2020-05-09,8,11,4,8,2,1,2,13,10,12
2020-05-08,20,19,18,18,10,17,14,24,18,24
2020-05-07,15,16,15,14,10,20,12,22,15,20
2020-05-06,16,14,21,17,9,14,13,23,16,23
2020-05-05,14,12,16,16,9,15,14,23,16,23
2020-05-04,16,11,18,17,15,30,18,22,16,22
2020-05-03,4,7,3,6,3,1,3,11,7,8
2020-05-02,6,9,3,10,4,3,3,14,10,13
2020-05-01,13,22,23,18,13,11,18,25,18,24
2020-04-30,15,17,17,15,12,20,16,22,17,21
2020-04-29,11,16,16,15,14,24,15,21,16,21
2020-04-28,16,18,24,14,13,23,13,23,18,23
2020-04-27,15,18,15,15,12,27,19,21,17,21
2020-04-26,5,8,2,6,4,1,4,11,9,8
2020-04-25,7,6,6,8,3,3,2,11,10,11
