Category,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Schools & Libraries
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-03-10,50,84,133,79,102,87,87,153,144
2020-03-09,72,79,167,93,112,101,91,100,178
2020-03-08,103,100,150,107,127,83,89,121,44
2020-03-07,117,124,133,112,116,92,140,116,72
2020-03-06,150,119,183,107,108,111,158,142,161
2020-03-05,81,119,117,102,100,103,116,111,117
2020-03-04,94,96,100,138,100,94,123,153,139
2020-03-03,47,108,167,124,163,126,117,137,200
2020-03-02,69,96,133,114,120,102,137,179,144
2020-03-01,108,121,150,119,90,89,84,105,22
2020-02-29,69,137,183,107,84,99,120,174,56
2020-02-28,108,123,233,98,116,118,128,95,122
2020-02-27,83,116,150,131,116,106,128,126,156
2020-02-26,117,123,83,98,102,100,106,105,111
2020-02-25,100,96,200,112,141,92,105,121,111
2020-02-24,81,113,117,105,106,96,116,100,144
2020-02-23,89,104,100,114,76,77,100,116,39
2020-02-22,139,139,267,138,84,85,127,111,44
2020-02-21,131,124,117,83,100,118,113,84,139
2020-02-20,89,96,117,110,96,113,99,100,150
2020-02-19,75,90,150,126,86,114,107,42,189
2020-02-18,81,110,83,83,110,87,96,79,139
2020-02-17,67,74,133,131,90,88,110,100,11
2020-02-16,206,94,67,98,210,61,84,95,6
2020-02-15,128,109,183,90,255,99,123,158,28
2020-02-14,61,112,300,98,92,136,115,142,89
2020-02-13,69,107,183,100,88,123,118,116,133
2020-02-12,61,88,183,64,84,115,89,53,178
2020-02-11,86,94,167,71,118,92,92,142,139
2020-02-10,33,80,133,105,112,101,78,153,144
2020-02-09,161,80,183,95,88,65,44,105,17
2020-02-08,119,111,117,145,106,89,100,100,72
2020-02-07,86,127,200,107,80,125,117,137,133
2020-02-06,69,97,283,98,86,113,100,95,144
2020-02-05,106,96,200,86,96,94,101,142,150
2020-02-04,78,101,200,93,88,96,98,116,150
2020-02-03,83,96,117,83,100,125,101,132,206
2020-02-02,147,103,167,114,53,84,71,132,28
2020-02-01,194,126,67,95,94,90,119,105,39
2020-01-31,133,119,100,102,65,135,122,84,33
2020-01-30,103,99,33,88,90,107,100,132,94
2020-01-29,317,92,67,79,110,106,106,147,144
2020-01-28,181,94,33,95,120,113,92,111,183
2020-01-27,61,90,33,100,106,106,100,89,128
2020-01-26,89,81,33,67,100,66,60,74,22
2020-01-25,117,104,67,100,67,82,104,111,39
2020-01-24,122,121,33,102,100,111,116,79,194
2020-01-23,78,84,67,76,67,87,71,79,122
2020-01-22,89,79,17,57,104,107,93,84,156
2020-01-21,122,93,67,74,122,102,88,74,200
2020-01-20,64,81,0,81,65,80,80,58,17
2020-01-19,119,72,83,81,53,56,46,63,11
2020-01-18,81,104,33,105,51,69,100,116,72
2020-01-17,94,99,50,71,104,129,83,68,144
2020-01-16,86,85,17,86,157,105,90,111,94
2020-01-15,97,102,67,112,129,106,96,89,144
2020-01-14,81,78,17,93,137,100,82,79,144
2020-01-13,81,76,33,95,104,104,76,63,161
2020-01-12,39,79,50,67,69,75,48,11,28
2020-01-11,100,84,50,117,88,78,87,68,56
2020-01-10,83,112,50,102,124,125,105,74,150
2020-01-09,75,87,100,124,116,109,88,74,194
2020-01-08,75,85,67,112,102,112,95,100,94
2020-01-07,125,96,33,102,118,99,97,89,117
2020-01-06,69,102,67,114,102,125,86,105,94
2020-01-05,97,87,67,121,63,83,62,53,11
2020-01-04,167,112,117,152,57,86,114,116,22
2020-01-03,161,102,33,90,88,132,125,137,128
2020-01-02,92,94,33,76,71,109,113,121,167
2020-01-01,86,84,0,21,31,70,79,68,44
2019-12-31,72,126,83,162,86,125,115,100,56
2019-12-30,69,81,83,86,114,120,112,74,83
