Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-06-08,25,23,21,31,45,36,32,25,29,28,30,33
2020-06-07,11,13,12,8,27,17,9,5,8,12,13,11
2020-06-06,18,11,17,11,19,16,9,7,13,15,17,15
2020-06-05,18,13,19,27,44,38,16,21,24,25,25,30
2020-06-04,17,14,18,25,36,24,14,14,18,22,23,27
2020-06-03,11,12,16,22,29,24,18,18,19,20,20,23
2020-06-02,5,7,13,10,13,17,7,11,10,12,12,14
2020-06-01,3,7,12,10,14,10,6,10,8,12,12,14
2020-05-31,6,11,14,6,13,18,6,7,13,12,14,14
2020-05-30,19,26,21,19,36,22,17,10,11,22,27,21
2020-05-29,22,27,22,33,40,37,26,20,20,29,30,37
2020-05-28,20,24,20,30,39,28,22,23,21,26,26,34
2020-05-27,23,26,21,33,46,34,24,24,26,28,29,36
2020-05-26,24,26,22,32,42,34,27,22,23,29,28,36
2020-05-25,14,23,19,26,45,23,11,13,11,23,23,26
2020-05-24,17,28,20,18,48,33,9,9,13,22,25,22
2020-05-23,18,24,18,20,44,30,12,6,15,20,21,17
2020-05-22,25,29,24,35,42,37,22,24,25,28,29,37
2020-05-21,23,24,25,34,39,39,30,23,24,28,27,36
2020-05-20,21,29,21,31,35,34,28,22,25,27,28,35
2020-05-19,22,24,22,30,28,28,30,20,22,25,25,32
2020-05-18,21,25,20,32,32,35,15,15,22,26,26,35
2020-05-17,12,15,11,8,19,18,12,3,7,14,13,12
2020-05-16,22,29,19,17,40,30,12,10,18,23,26,19
2020-05-15,19,28,25,32,38,33,23,17,19,28,30,36
2020-05-14,19,19,21,26,30,29,16,20,16,24,24,29
2020-05-13,16,22,21,25,34,33,14,21,23,25,25,30
2020-05-12,17,18,19,23,36,31,23,14,21,23,23,28
2020-05-11,16,18,20,26,26,25,18,20,15,22,23,28
2020-05-10,11,16,14,8,22,13,9,4,10,14,14,12
2020-05-09,16,19,17,15,37,23,10,6,12,19,20,15
2020-05-08,17,25,17,31,34,23,22,17,18,26,27,33
2020-05-07,17,17,22,24,30,21,26,18,15,24,23,27
2020-05-06,16,20,22,28,34,33,20,19,23,25,25,29
2020-05-05,16,23,19,26,26,38,19,17,18,24,25,29
2020-05-04,16,17,18,25,28,32,21,23,19,23,23,28
2020-05-03,12,15,14,12,30,22,11,5,8,16,16,13
2020-05-02,14,20,19,16,39,31,13,7,10,21,22,16
2020-05-01,19,21,21,36,34,39,22,27,22,27,30,37
2020-04-30,17,20,19,28,34,29,21,19,21,24,23,32
2020-04-29,14,14,16,24,25,32,19,20,19,21,19,29
2020-04-28,17,23,19,28,26,39,16,21,21,23,23,35
2020-04-27,17,18,20,27,26,37,20,20,22,22,23,33
2020-04-26,8,20,15,14,29,20,8,5,8,16,19,19
2020-04-25,10,18,15,12,18,23,9,7,10,15,16,17
2020-04-24,16,22,16,26,26,33,16,20,20,23,24,35
2020-04-23,17,18,20,28,26,38,18,21,23,22,23,35
2020-04-22,17,22,14,24,25,34,15,20,22,22,22,33
2020-04-21,18,20,15,26,25,32,22,20,18,22,22,33
2020-04-20,17,21,18,27,30,21,22,15,18,22,22,33
2020-04-19,9,15,12,11,27,21,10,6,7,14,15,17
2020-04-18,12,20,18,17,29,21,12,11,7,18,20,22
2020-04-17,16,20,16,24,23,31,23,18,16,20,21,32
2020-04-16,14,20,17,24,23,32,19,21,17,21,21,32
2020-04-15,16,15,18,22,24,27,23,17,19,20,21,31
2020-04-14,15,15,16,22,24,31,17,18,15,20,20,30
2020-04-13,14,16,19,25,23,25,16,16,14,20,21,33
2020-04-12,8,16,12,9,17,19,7,5,6,12,14,15
2020-04-11,11,19,15,12,21,19,5,6,8,16,17,19
2020-04-10,13,19,17,23,17,28,21,17,15,22,23,34
