Category,Airports & Transit Centers,Bars,Beauty & Wellness,Grocery,QSR,Restaurant,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index
2020-05-01,50,48,48,58,79,75,61,53
2020-04-30,50,42,43,56,68,33,54,41
2020-04-29,150,42,27,33,64,32,49,17
2020-04-28,150,45,45,64,84,44,57,24
2020-04-27,100,45,39,56,56,37,51,28
2020-04-26,50,39,38,62,69,37,50,23
2020-04-25,0,27,39,62,75,40,51,36
2020-04-24,150,18,46,65,71,46,54,31
2020-04-23,100,42,41,53,45,44,52,24
2020-04-22,50,21,43,64,56,49,52,35
2020-04-21,0,21,39,49,53,38,48,23
2020-04-20,100,12,44,50,64,30,52,33
2020-04-19,0,12,30,53,48,30,46,20
2020-04-18,200,12,42,64,81,58,52,34
2020-04-17,200,30,35,63,53,49,50,28
2020-04-16,100,24,41,43,52,39,51,28
2020-04-15,50,24,41,49,59,57,49,30
2020-04-14,200,18,35,50,43,40,46,29
2020-04-13,300,9,35,52,40,38,48,36
2020-04-12,0,24,28,45,48,31,42,20
2020-04-11,150,30,40,58,59,40,50,26
2020-04-10,50,27,43,66,63,37,51,30
2020-04-09,200,36,41,42,45,49,49,28
2020-04-08,150,33,37,46,38,30,51,28
2020-04-07,150,45,46,60,55,37,53,37
2020-04-06,200,39,37,57,48,30,50,23
2020-04-05,50,39,26,51,51,31,41,20
2020-04-04,0,24,36,54,53,46,49,29
2020-04-03,0,27,44,62,66,45,53,35
2020-04-02,0,30,40,59,48,24,51,31
2020-04-01,100,42,48,48,64,49,52,42
2020-03-31,50,21,44,44,49,40,52,44
2020-03-30,50,12,43,58,53,42,52,40
2020-03-29,0,18,29,55,51,32,43,17
2020-03-28,50,30,29,57,46,35,48,21
2020-03-27,50,36,44,74,75,67,55,38
2020-03-26,0,30,39,66,49,25,53,27
2020-03-25,100,15,43,63,63,51,54,24
2020-03-24,150,15,50,61,61,49,51,41
2020-03-23,100,9,40,52,44,27,50,43
2020-03-22,0,24,22,50,51,33,41,23
2020-03-21,50,88,34,67,52,44,47,45
2020-03-20,50,58,43,82,58,36,64,58
