Category,Bars,Beauty & Wellness,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-03-10,103,126,77,109,116,104,99,225,108,125
2020-03-09,47,111,78,107,112,90,88,175,98,62
2020-03-08,121,95,0,157,120,108,150,100,112,0
2020-03-07,135,126,0,148,123,106,153,25,125,142
2020-03-06,97,126,85,131,121,97,105,125,114,122
2020-03-05,91,104,89,96,111,88,92,175,98,113
2020-03-04,76,113,82,107,103,94,104,100,95,112
2020-03-03,91,105,84,135,111,108,122,225,112,116
2020-03-02,62,106,83,95,102,89,120,75,102,61
2020-03-01,88,91,0,124,127,129,101,125,98,0
2020-02-29,121,131,0,135,126,129,146,175,125,135
2020-02-28,118,127,77,116,151,126,95,175,110,126
2020-02-27,109,108,86,123,104,105,101,125,95,115
2020-02-26,85,107,73,93,101,96,66,225,84,95
2020-02-25,82,108,101,104,95,113,88,225,94,110
2020-02-24,109,109,233,100,112,86,81,100,97,60
2020-02-23,112,89,0,96,107,95,80,200,95,0
2020-02-22,88,122,0,133,112,109,155,75,127,140
2020-02-21,115,122,121,124,93,99,114,125,112,127
2020-02-20,85,110,117,103,101,96,64,150,87,111
2020-02-19,100,113,95,96,105,94,81,100,91,111
2020-02-18,76,99,92,109,95,102,85,50,91,103
2020-02-17,65,107,71,76,105,106,93,225,92,62
2020-02-16,103,85,0,108,112,96,82,150,94,0
2020-02-15,112,107,0,143,107,103,138,150,113,134
2020-02-14,100,118,335,140,107,99,123,100,97,119
2020-02-13,62,102,214,108,92,97,89,150,95,106
2020-02-12,79,105,342,111,80,93,82,75,92,110
2020-02-11,88,108,288,113,107,99,81,200,96,117
2020-02-10,50,107,345,99,100,89,91,175,94,59
2020-02-09,118,77,0,88,94,109,91,75,95,0
2020-02-08,106,113,0,136,112,132,132,75,122,126
2020-02-07,121,123,84,115,103,113,116,175,103,120
2020-02-06,100,104,76,116,86,111,82,150,92,107
2020-02-05,138,106,71,92,82,92,104,150,88,107
2020-02-04,106,108,74,92,91,120,99,150,97,111
2020-02-03,100,117,78,111,94,92,116,175,102,64
2020-02-02,124,81,0,88,129,142,130,125,114,0
2020-02-01,124,123,0,96,134,107,114,0,118,125
2020-01-31,91,118,63,91,120,101,104,75,107,115
2020-01-30,82,107,73,93,104,86,89,125,95,104
2020-01-29,112,104,72,0,96,111,76,100,94,105
2020-01-28,68,102,72,63,70,102,92,50,90,104
2020-01-27,65,103,65,92,100,98,107,75,102,50
2020-01-26,109,61,0,65,94,80,97,75,92,0
2020-01-25,153,91,0,75,91,100,122,75,108,106
2020-01-24,153,89,61,76,107,105,92,100,112,98
2020-01-23,97,64,58,69,69,71,80,0,85,80
2020-01-22,56,86,59,0,75,69,73,75,85,87
2020-01-21,129,92,82,61,88,80,80,25,97,100
2020-01-20,85,79,64,71,65,93,82,100,92,43
2020-01-19,74,69,0,69,84,95,93,100,90,0
2020-01-18,126,97,0,84,107,90,105,100,107,101
2020-01-17,109,90,67,69,91,98,64,150,91,99
2020-01-16,91,93,60,75,96,93,76,150,92,98
2020-01-15,97,100,68,0,97,102,81,75,93,103
2020-01-14,100,81,53,47,82,80,86,125,91,80
2020-01-13,118,83,51,71,85,82,77,50,90,47
2020-01-12,150,59,0,79,85,88,72,125,80,0
2020-01-11,121,77,0,77,78,92,84,125,101,98
2020-01-10,121,101,68,99,104,97,134,125,111,104
2020-01-09,82,86,65,79,81,88,84,50,84,91
2020-01-08,162,87,64,104,92,104,77,75,95,83
2020-01-07,112,98,60,93,77,101,66,125,87,84
2020-01-06,112,101,79,97,106,117,111,125,106,56
2020-01-05,100,73,0,113,108,103,111,100,107,0
2020-01-04,97,107,0,125,103,106,124,150,116,117
2020-01-03,129,124,84,128,123,112,169,175,113,112
2020-01-02,74,113,78,129,98,104,114,175,101,112
2020-01-01,82,88,61,69,66,115,69,75,76,87
2019-12-31,91,102,50,145,104,120,154,75,139,120
2019-12-30,74,79,49,91,115,101,95,125,110,50
