Category,Airports & Transit Centers,Beauty & Wellness,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-01-21,89,92,111,98,94,117,73,118,104
2020-01-20,50,61,75,74,61,84,93,67,68
2020-01-19,50,69,60,72,60,75,65,56,60
2020-01-18,43,102,103,89,85,90,80,76,75
2020-01-17,75,99,100,100,98,121,101,111,102
2020-01-16,75,87,103,95,102,84,91,109,109
2020-01-15,93,100,120,98,95,76,84,128,113
2020-01-14,121,92,102,69,106,97,62,117,102
2020-01-13,114,73,114,83,109,73,71,104,98
2020-01-12,25,63,56,74,65,65,66,58,54
2020-01-11,54,79,58,89,65,90,82,61,66
2020-01-10,139,110,112,154,102,110,121,111,109
2020-01-09,96,101,98,83,106,119,100,112,102
2020-01-08,86,84,93,71,84,86,128,104,94
2020-01-07,107,91,92,93,80,84,90,98,101
2020-01-06,93,78,119,79,106,108,129,115,111
2020-01-05,86,71,66,105,77,113,74,64,70
2020-01-04,93,115,86,111,97,141,117,77,87
2020-01-03,121,129,110,127,121,110,148,106,114
2020-01-02,132,98,89,102,95,86,104,118,102
2020-01-01,86,67,71,96,64,67,55,66,67
2019-12-31,82,112,101,123,86,114,168,94,93
2019-12-30,100,74,80,93,80,98,137,82,90
