Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-07-02,87,84,76,68,63,15,123,33,88,75,87,24,81
2020-07-01,97,64,73,65,53,17,131,26,80,83,65,55,46
2020-06-30,84,64,66,55,50,13,130,23,81,62,53,62,37
2020-06-29,68,73,60,56,39,15,114,26,79,58,50,41,42
2020-06-28,32,34,49,17,47,10,87,18,69,56,59,10,52
2020-06-27,48,64,65,39,60,14,109,24,82,63,144,52,48
2020-06-26,77,100,69,54,49,14,115,28,77,63,63,28,38
2020-06-25,52,63,73,43,45,15,141,25,78,65,61,86,56
2020-06-24,84,61,59,42,29,14,105,20,74,65,44,86,42
2020-06-23,65,88,69,39,48,14,116,28,79,62,53,38,54
2020-06-22,58,50,55,42,39,13,100,19,66,53,45,31,40
2020-06-21,39,34,55,8,57,14,93,21,58,49,43,62,65
2020-06-20,58,64,83,24,63,15,118,24,84,68,71,41,85
2020-06-19,74,86,75,50,54,13,131,23,93,57,67,31,73
2020-06-18,106,77,72,41,42,13,129,26,82,64,49,41,65
2020-06-17,84,64,67,42,49,16,118,17,74,64,34,38,37
2020-06-16,97,50,68,40,48,11,140,31,75,54,65,59,67
2020-06-15,94,77,61,40,49,16,130,26,67,57,38,59,62
2020-06-14,52,30,51,9,48,13,90,22,68,55,44,48,48
2020-06-13,65,70,74,24,45,13,109,28,84,61,62,34,71
2020-06-12,81,64,81,63,48,11,138,30,95,76,47,48,62
2020-06-11,103,59,78,46,55,14,145,27,93,63,52,31,62
2020-06-10,87,57,66,58,50,14,120,25,79,61,35,21,62
2020-06-09,42,77,56,48,59,16,122,34,76,60,30,76,46
2020-06-08,71,55,63,47,62,13,135,25,84,56,39,72,52
2020-06-07,39,20,34,9,56,13,98,17,70,56,20,45,46
2020-06-06,52,59,70,32,61,9,142,30,90,57,19,38,60
2020-06-05,58,54,68,56,57,4,133,30,94,61,26,48,81
2020-06-04,71,77,61,34,31,4,109,32,78,54,25,24,42
2020-06-03,71,80,64,40,29,4,99,29,80,52,35,28,35
2020-06-02,84,36,53,37,29,4,103,27,76,38,19,17,19
2020-06-01,87,61,65,57,37,31,97,42,75,53,71,28,46
2020-05-31,68,38,50,20,57,49,85,43,60,50,47,41,25
2020-05-30,48,34,71,34,81,78,110,50,93,68,62,41,46
2020-05-29,68,70,75,52,78,66,137,61,102,69,70,41,50
2020-05-28,74,55,61,43,71,73,99,51,81,62,41,38,56
2020-05-27,77,70,74,72,71,70,119,60,87,71,46,38,46
2020-05-26,68,66,67,57,79,70,104,65,90,58,56,38,73
2020-05-25,42,45,58,56,79,76,85,43,64,49,52,28,48
2020-05-24,39,45,63,27,104,79,91,43,81,69,67,45,56
2020-05-23,48,50,76,40,101,84,85,53,94,65,89,31,54
2020-05-22,71,93,82,94,109,82,115,66,105,83,73,45,48
2020-05-21,77,54,78,88,100,66,112,60,96,65,89,38,58
2020-05-20,68,66,78,104,107,80,111,63,94,65,80,31,44
2020-05-19,61,21,67,79,93,68,89,65,84,57,64,31,67
2020-05-18,94,52,69,46,78,72,99,53,78,60,67,41,42
2020-05-17,55,34,45,13,69,60,50,41,56,41,42,17,38
2020-05-16,65,34,76,43,86,83,122,51,93,77,80,31,42
2020-05-15,94,61,79,60,89,78,115,66,96,79,77,45,40
2020-05-14,68,20,61,38,68,66,78,59,76,56,38,28,50
2020-05-13,94,50,75,53,78,73,100,60,90,63,41,24,29
2020-05-12,77,36,54,47,69,63,100,58,71,60,38,17,23
2020-05-11,71,29,64,46,72,65,88,57,73,54,53,41,48
2020-05-10,58,16,50,8,108,71,60,66,62,50,33,14,35
2020-05-09,71,39,78,38,120,98,112,74,89,69,79,24,48
2020-05-08,74,46,84,64,104,82,98,69,110,77,66,21,38
2020-05-07,77,23,63,42,82,67,103,54,82,57,47,28,44
2020-05-06,74,36,73,58,92,71,94,63,81,65,56,17,31
2020-05-05,65,34,64,47,84,68,72,53,77,61,52,28,35
2020-05-04,61,21,60,42,81,73,80,51,84,69,47,21,35
2020-05-03,32,38,47,19,76,66,84,37,71,59,41,17,27
2020-05-02,19,84,77,35,88,93,108,49,99,64,62,34,44
2020-05-01,87,55,85,57,98,77,116,65,101,83,66,31,40
2020-04-30,84,52,67,40,82,81,85,62,86,65,46,24,46
2020-04-29,94,23,53,27,64,57,57,45,73,49,44,17,42
2020-04-28,81,55,70,44,84,65,100,54,88,60,52,24,42
2020-04-27,84,43,63,49,80,73,82,57,82,67,50,31,52
2020-04-26,35,39,48,12,86,67,81,45,68,61,35,24,48
2020-04-25,45,39,67,14,88,80,61,63,80,58,56,17,37
2020-04-24,65,39,74,45,84,75,94,76,87,75,37,31,37
2020-04-23,71,52,71,31,85,66,91,62,77,66,41,21,46
2020-04-22,65,46,63,39,79,71,78,63,73,69,42,38,31
2020-04-21,48,32,75,40,83,71,85,67,81,60,38,41,33
2020-04-20,55,61,73,39,79,69,99,77,77,80,30,28,50
2020-04-19,32,30,57,19,75,74,72,48,69,69,38,28,25
2020-04-18,42,50,77,25,92,85,109,71,80,82,45,31,44
2020-04-17,65,43,75,35,86,85,78,81,76,79,40,28,46
2020-04-16,68,34,65,38,92,78,89,66,81,85,33,45,44
2020-04-15,58,43,70,49,71,69,71,80,74,72,41,24,38
2020-04-14,68,29,58,32,74,67,76,61,68,72,32,28,29
2020-04-13,61,25,58,46,77,74,63,67,62,63,30,24,27
2020-04-12,35,27,49,2,93,58,56,55,50,50,50,31,31
2020-04-11,39,46,78,34,109,107,73,76,77,79,70,24,27
2020-04-10,61,39,79,50,105,100,86,79,82,81,71,14,33
2020-04-09,87,36,71,38,88,87,74,66,62,73,49,24,33
2020-04-08,103,59,67,40,84,80,73,80,73,76,34,28,27
2020-04-07,90,46,72,41,87,77,88,76,71,79,62,24,40
2020-04-06,61,34,66,33,76,77,82,72,65,67,47,21,23
2020-04-05,45,25,48,11,87,81,65,54,52,61,44,14,15
2020-04-04,45,45,71,22,110,98,62,69,71,75,80,34,19
2020-04-03,77,45,86,51,105,107,104,94,88,95,83,31,40
2020-04-02,81,46,80,41,90,91,83,77,81,73,58,21,33
2020-04-01,113,38,81,42,99,108,79,86,82,75,50,41,27
2020-03-31,90,34,71,43,89,91,58,64,68,69,34,34,37
2020-03-30,94,48,69,52,77,99,58,73,67,73,36,55,40
2020-03-29,35,16,46,9,70,83,42,56,53,49,38,10,38
2020-03-28,39,41,62,24,84,102,48,64,70,64,39,31,27
2020-03-27,68,43,73,47,81,102,74,85,71,75,40,31,33
2020-03-26,84,34,73,40,72,87,79,79,72,75,53,28,50
2020-03-25,74,43,71,50,87,87,97,69,80,73,65,24,35
2020-03-24,106,27,68,42,79,84,76,69,68,63,60,48,44
2020-03-23,87,48,62,43,85,88,71,63,60,66,49,59,35
2020-03-22,65,29,47,9,76,87,53,51,50,52,23,31,23
2020-03-21,61,34,64,20,116,112,69,65,58,80,35,41,27
2020-03-20,106,30,77,50,123,133,77,95,74,81,56,59,19
2020-03-19,135,50,79,51,112,110,86,81,78,74,62,93,35
2020-03-18,174,32,93,54,105,93,84,74,74,76,75,72,48
2020-03-17,123,55,90,85,117,108,109,97,82,83,83,403,29
2020-03-16,71,111,95,98,134,119,92,105,88,86,99,276,71
2020-03-15,35,95,66,45,121,117,57,81,92,85,88,110,73
2020-03-14,52,82,99,64,141,128,71,99,109,105,124,86,102
2020-03-13,87,116,124,116,144,132,103,124,128,123,147,197,112
2020-03-12,97,109,115,99,117,111,92,106,105,103,105,169,87
2020-03-11,97,113,104,147,108,108,86,105,102,97,88,248,102
2020-03-10,135,75,102,122,106,102,89,114,104,109,95,241,154
2020-03-09,103,89,104,111,96,99,88,92,104,116,89,162,106
2020-03-08,42,89,84,47,110,129,74,76,114,114,135,66,102
2020-03-07,74,127,115,69,118,121,85,97,123,127,177,72,140
2020-03-06,74,127,119,110,104,111,88,110,118,107,112,148,119
2020-03-05,106,111,106,123,98,116,92,113,113,124,110,128,65
2020-03-04,84,111,104,129,98,109,90,109,109,109,117,190,75
2020-03-03,90,127,118,152,101,109,86,112,119,114,88,155,152
2020-03-02,68,107,105,124,102,126,106,112,116,111,102,148,75
2020-03-01,35,73,92,43,111,119,111,85,110,111,128,45,135
2020-02-29,61,146,123,60,115,133,125,120,130,139,166,121,125
2020-02-28,100,129,120,137,117,128,156,114,135,141,143,93,125
2020-02-27,71,77,111,100,113,106,125,115,126,115,102,124,102
2020-02-26,135,100,98,128,103,119,116,100,106,105,114,90,69
2020-02-25,119,116,100,99,102,93,134,114,101,96,74,121,129
2020-02-24,90,96,102,116,104,103,137,110,103,105,79,117,96
2020-02-23,65,93,75,50,101,104,106,83,96,79,77,38,138
2020-02-22,71,132,112,74,109,117,142,92,110,111,143,55,117
2020-02-21,97,129,116,140,104,100,146,117,115,114,99,62,108
2020-02-20,90,107,90,106,105,91,114,100,99,99,86,159,73
2020-02-19,110,109,95,129,97,88,123,91,92,92,80,107,77
2020-02-18,97,125,89,124,96,85,111,107,100,106,77,162,152
2020-02-17,77,82,78,110,101,88,99,91,90,92,80,52,113
2020-02-16,52,71,71,35,103,90,78,70,91,93,85,45,85
2020-02-15,77,82,100,49,95,102,82,77,102,111,153,86,146
2020-02-14,97,96,107,91,120,105,141,121,104,114,129,69,137
2020-02-13,106,77,99,104,111,101,137,98,89,99,130,128,83
2020-02-12,103,118,111,114,101,95,132,106,93,95,94,48,71
2020-02-11,132,107,104,133,119,92,121,97,99,105,94,114,123
2020-02-10,103,82,90,128,121,96,113,99,91,96,81,124,73
2020-02-09,42,54,85,42,122,98,80,56,77,92,102,38,88
2020-02-08,65,134,115,75,133,111,119,89,99,125,137,83,123
2020-02-07,142,136,130,137,127,104,144,123,111,116,112,100,112
2020-02-06,129,100,106,116,114,101,89,90,93,91,77,166,90
2020-02-05,126,132,110,116,110,91,92,93,95,97,83,103,90
2020-02-04,113,107,101,125,90,98,90,112,105,100,107,166,112
2020-02-03,119,111,103,153,109,109,96,86,104,104,72,169,63
2020-02-02,55,75,104,52,121,97,79,78,91,82,98,17,85
