Category,Airports & Transit Centers,Bars,Beauty & Wellness,Fitness Centers,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls,Tourist Attractions
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-06-08,0,57,69,54,35,70,31,83,70,17,53,85,89
2020-06-07,0,89,47,27,9,42,20,68,89,10,35,61,2
2020-06-06,0,75,80,38,10,42,30,96,89,5,54,90,3
2020-06-05,0,43,76,54,12,63,22,96,84,7,62,95,90
2020-06-04,100,75,70,39,9,259,27,84,79,22,55,77,86
2020-06-03,100,36,72,52,7,56,30,92,71,20,55,84,88
2020-06-02,0,18,70,44,8,593,35,82,70,7,56,78,75
2020-06-01,0,25,77,53,7,99,51,109,104,12,46,101,96
2020-05-31,0,75,70,65,16,76,72,72,90,12,37,87,2
2020-05-30,0,39,81,65,43,88,104,84,85,27,44,86,1
2020-05-29,0,39,85,65,42,104,100,102,91,49,56,90,116
2020-05-28,100,43,81,64,37,95,84,95,80,49,49,77,86
2020-05-27,0,36,74,67,45,93,104,93,83,51,55,88,91
2020-05-26,0,14,73,57,48,76,118,83,97,41,51,81,81
2020-05-25,100,43,66,51,43,59,85,68,90,22,38,74,73
2020-05-24,0,57,64,69,49,57,95,71,100,34,38,87,2
2020-05-23,0,75,84,48,45,57,91,96,89,29,46,87,3
2020-05-22,100,64,96,68,48,57,108,110,108,44,57,98,121
2020-05-21,0,46,74,67,43,64,100,89,80,37,50,85,89
2020-05-20,0,57,89,52,41,106,97,92,87,27,49,84,87
2020-05-19,0,39,72,43,40,141,101,81,69,32,48,72,77
2020-05-18,0,39,70,52,42,287,107,83,72,34,50,80,79
2020-05-17,0,46,53,40,34,366,81,61,59,22,30,62,3
2020-05-16,100,43,94,60,45,581,108,91,81,32,51,89,2
2020-05-15,0,50,89,55,42,674,115,95,99,32,64,87,73
2020-05-14,0,32,63,42,40,396,77,72,69,15,55,71,50
2020-05-13,100,50,71,60,42,273,103,93,81,59,59,80,68
2020-05-12,0,43,68,38,36,186,88,68,66,29,52,63,48
2020-05-11,100,39,70,46,49,153,78,74,75,10,47,81,64
2020-05-10,0,50,56,54,72,133,114,57,81,24,40,70,5
