Category,Bars,Beauty & Wellness,Grocery,Mass Merch,Parks & Beaches,Pharmacy,QSR,Restaurant,Retail,Schools & Libraries,Shopping Centers & Malls
Timestamp Date,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index,Index
2020-03-03,67,120,123,0,100,129,119,135,50,83,138
2020-03-02,100,133,140,0,159,121,123,90,0,96,134
2020-03-01,100,101,97,0,106,78,102,86,0,15,80
2020-02-29,200,95,100,0,129,81,119,124,50,57,91
2020-02-28,100,135,121,0,76,134,139,134,100,63,144
2020-02-27,0,124,123,0,82,114,113,128,50,94,121
2020-02-26,33,112,104,0,118,104,113,119,50,112,111
2020-02-25,33,87,112,0,88,115,120,108,150,101,117
2020-02-24,167,89,119,0,135,108,109,111,100,97,129
2020-02-23,100,64,81,0,106,68,77,80,0,24,66
2020-02-22,100,107,111,0,135,74,104,86,100,57,82
2020-02-21,67,120,133,0,76,125,130,119,0,77,115
2020-02-20,33,101,104,0,88,101,93,118,50,117,98
2020-02-19,100,112,109,0,82,111,98,127,0,131,91
2020-02-18,267,93,110,0,88,106,115,95,100,118,95
2020-02-17,167,81,105,0,94,80,78,110,50,26,71
2020-02-16,200,75,83,0,106,75,82,86,50,17,50
2020-02-15,67,83,93,0,59,89,78,87,100,41,71
2020-02-14,367,105,114,0,71,139,104,110,100,65,116
2020-02-13,133,95,123,0,76,130,96,95,150,96,89
2020-02-12,67,105,123,0,59,117,95,100,50,118,109
2020-02-11,100,106,117,0,100,109,87,90,50,110,115
2020-02-10,200,94,123,0,112,93,98,109,0,107,105
2020-02-09,33,58,86,0,65,60,79,65,50,19,43
2020-02-08,267,95,104,0,65,90,95,110,50,53,94
2020-02-07,233,112,124,0,124,126,107,134,100,70,105
2020-02-06,133,95,110,0,71,112,103,91,100,89,106
2020-02-05,0,115,108,0,94,108,94,108,100,101,109
2020-02-04,33,86,117,0,106,102,108,116,100,99,94
2020-02-03,300,115,127,0,112,131,105,105,100,108,121
2020-02-02,67,77,97,0,118,69,90,57,50,18,53
2020-02-01,233,87,120,0,124,85,102,85,0,47,88
2020-01-31,233,104,125,0,112,120,120,120,100,69,138
2020-01-30,33,95,131,0,88,106,107,104,0,103,91
2020-01-29,0,95,116,0,118,111,96,120,50,105,91
2020-01-28,0,82,128,0,112,100,95,105,50,120,102
2020-01-27,167,93,104,0,112,118,97,96,150,113,102
2020-01-26,67,68,83,0,124,49,68,71,0,21,46
2020-01-25,100,101,96,0,82,79,96,97,50,40,69
2020-01-24,100,105,117,0,129,124,109,86,50,73,101
2020-01-23,200,87,118,0,82,86,74,84,50,104,96
2020-01-22,233,111,129,0,76,118,86,84,300,199,122
2020-01-21,167,113,187,0,76,133,112,143,550,366,182
2020-01-20,100,68,98,0,112,76,66,54,250,117,67
2020-01-19,133,62,92,0,76,66,66,56,100,113,50
2020-01-18,200,89,110,0,112,100,87,68,100,82,84
2020-01-17,67,108,132,0,82,95,104,101,200,118,129
2020-01-16,133,104,118,0,76,91,122,114,150,213,112
2020-01-15,67,87,133,0,124,98,104,116,500,209,122
2020-01-14,100,87,105,10,88,108,111,105,50,180,122
2020-01-13,133,110,72,108,124,116,98,108,550,276,136
2020-01-12,167,89,30,71,65,50,68,56,0,137,71
2020-01-11,67,125,50,148,47,102,89,110,300,293,129
2020-01-10,133,135,43,120,135,120,107,90,0,123,105
2020-01-09,167,118,56,96,88,88,93,108,50,114,122
2020-01-08,33,110,41,114,112,90,104,97,50,125,105
2020-01-07,67,108,51,97,106,87,94,86,50,134,110
2020-01-06,167,124,51,137,135,119,101,123,100,144,122
2020-01-05,167,75,29,98,94,67,91,87,0,107,67
2020-01-04,200,112,39,113,94,89,99,104,100,74,74
2020-01-03,200,139,53,114,124,119,119,115,100,94,126
2020-01-02,100,130,56,124,112,116,102,80,0,96,111
2020-01-01,100,79,23,64,71,51,76,71,150,81,66
2019-12-31,200,130,30,113,135,104,103,67,0,59,102
2019-12-30,33,100,41,88,118,81,88,63,100,67,73
