short_date,zipcode,crash_count
2019-07-23,60647,14
2020-08-14,60636,14
2019-10-05,60623,14
2021-02-24,60628,14
2021-02-19,60623,14
2019-07-24,60611,14
2021-02-19,60619,14
2019-04-21,60632,14
2020-06-08,60620,14
2020-08-23,60624,14
2019-06-14,60618,14
2019-07-18,60607,14
2019-04-09,60639,14
2019-06-12,60654,14
2019-10-01,60620,14
2019-07-18,60612,14
2020-05-25,60628,14
2019-03-11,60619,14
2020-09-04,60624,14
2020-09-04,60629,14
2021-02-17,60619,14
2019-06-15,60644,14
2019-03-29,60629,14
2019-09-24,60609,14
2020-09-04,60632,14
2019-01-22,60639,14
2020-03-16,60609,14
2019-05-03,60618,14
2019-05-03,60619,14
2019-07-12,60628,14
2019-07-12,60619,14
2019-09-30,60611,14
2019-04-19,60620,14
2019-06-15,60616,14
2020-04-15,60644,14
2020-03-10,60644,14
2020-08-01,60620,14
2020-12-29,60643,14
2020-05-29,60624,14
2019-03-05,60651,14
2019-05-04,60609,14
2019-05-03,60644,14
2020-08-14,60623,14
2019-04-20,60624,14
2020-05-26,60644,14
2019-04-20,60632,14
2020-08-24,60629,14
2019-04-10,60632,14
2019-07-21,60623,14
2020-08-14,60617,14
2019-07-13,60639,14
2019-04-20,60639,14
2019-07-13,60611,14
2019-06-15,60614,14
2019-04-04,60611,14
2019-02-28,60619,14
2019-07-24,60632,14
2021-01-06,60620,14
2019-06-13,60617,14
2019-04-25,60612,14
2019-04-27,60632,14
2019-07-20,60629,14
2020-06-16,60632,14
2019-09-20,60609,14
2020-08-05,60628,14
2019-07-19,60632,14
2019-09-03,60608,14
2019-04-27,60608,14
2019-09-25,60612,14
2019-04-26,60607,14
2019-04-04,60639,14
2019-07-19,60644,14
2020-08-18,60639,14
2019-04-26,60639,14
2020-06-16,60636,14
2020-05-18,60644,14
2019-04-26,60608,14
2019-04-26,60623,14
2020-05-16,60628,14
2019-01-05,60620,14
2021-02-18,60628,14
2019-09-26,60639,14
2020-05-22,60620,14
2019-04-08,60632,14
2020-09-04,60639,14
2019-06-30,60613,14
2021-01-02,60623,14
2021-01-04,60644,14
2020-08-22,60623,14
2019-07-20,60644,14
2020-08-22,60618,14
2019-09-05,60607,14
2019-04-23,60619,14
2019-02-28,60629,14
2020-08-06,60624,14
2021-02-17,60639,14
2020-06-09,60651,14
2021-02-27,60617,14
2019-04-29,60618,14
2020-08-16,60617,14
